
# total_edep  wrt=a  N=1000  seeds=[1, 2]
# AD = +525  (SE 3.53e+03)
epsilon | AD | FD | AD/FD | FD_SE | notes
  0.005 | +525 | +1080 | +0.486 | 4.94e+03 | noise-dominated
   0.02 | +525 | +957.4 | +0.548 | 1.23e+03 | noise-dominated
   0.05 | +525 | +1018 | +0.516 | 492 | noise-dominated
    0.1 | +525 | +1082 | +0.485 | 246 | 
   0.25 | +525 | +1102 | +0.476 | 98.4 | 
    0.5 | +525 | +1175 | +0.447 | 49 | 

# total_edep  wrt=energy  N=1000  seeds=[1, 2]
# AD = +0.9116  (SE 0.0875)
epsilon | AD | FD | AD/FD | FD_SE | notes
      1 | +0.9116 | +3.272 | +0.279 | 24.7 | noise-dominated
      5 | +0.9116 | +0.7881 | +1.157 | 4.93 | noise-dominated
     20 | +0.9116 | +1.116 | +0.817 | 1.23 | noise-dominated
     50 | +0.9116 | +0.8852 | +1.030 | 0.493 | noise-dominated
    100 | +0.9116 | +0.9161 | +0.995 | 0.247 | 
    200 | +0.9116 | +0.8873 | +1.027 | 0.123 | 
